Questions,Answers
What are the treatment methods of diseases in greater yam?,"Yam dieback is treated by removal of weeds
that may be alternative hosts, planting barrier crops of
maize, avoiding damage to tubers at harvest, early staking,
crop rotation, and ploughing-in plant residues immediately
after harvest.Mosaic virus is treated by vegitative propagation."
What are the different diseases in jujube?,Common diseases seen in jujube are white mold and rust.
What are the different measures to treat diseases in jujube ?,"Planting resistance varieties and regular monitoring ,proper irrigation can help to control white rot in jujube.To treat rust chemical fungicides can be used."
What are the diseases that affect paddy crops ?,"Brown Spot Disease (BSD), Bacterial Blight Disease (BBD)."
What are the Disease control measures in Paddy crops?,"Brown Spot Disease (BSD)-monitor soil nutrients regularly, apply required fertilizers, for soils that are low in silicon, apply calcium silicate slag before planting. Bacterial Blight Disease (BBD).-Use balanced amounts of plant nutrients, especially nitrogen."
What are the diseases that affect Pineapple?,"mealybug wilt-associated virus, butt rot. "
What are the Disease control measures in Pineapple?,"mealybug wilt-associated virus-Use planting material from wilt-free areas, lant resistant varieties if available.  butt rot.-The disease can be controlled by dipping planting materials in 0.3% Dithane Z-78 or by spraying on leaves"
What are the diseases that affect Arecanut?,"Mahali/Koleroga (Phytophthora meadii) , Yellow Leaf Disease (YLD) (Candidatus Phytoplasma) ."
What are the Disease control measures in Arecanut?,"Mahali/Koleroga (Phytophthora meadii) - Plant your pineapple plant in a south-facing direction of your property for maximum sunlight, Yellow Leaf Disease (YLD) -  Prune some overstory trees that are blocking the pineapple plant’s leaves from the sun."
What are the diseases that affect Turmeric?,"Rhizome Rot , Leaf Spot ."
What are the Disease control measures in Turmeric?,"Rhizome Rot-Remove and destroy all infected rhizomes immediately, isinfecting tools and equipment used during the process can help prevent further spread of the disease. Leaf Spot - Field sanitation, Spray with Mancozeb 0.25% or copper oxy chloride 0.25% immediately after the appearance of symptom and at 15 days interval
"
What are the diseases that affect Cashew?,"Angular leaf spot, Black mould."
What are the Disease control measures in Cashew?,"Angular leaf spot- Use clean propagation material and disease-free seed, Remove sources of inoculum such as dead leaves.Black mould- Copper oxychloride was used every 15 days as a control fungicide"
What are the diseases that affect Tapioca ?,"Cassava mosaic disease, Brown leaf spot."
What are the Disease control measures in Tapioca?,"Cassava mosaic disease- Destroy infested stems, Spray methyl demeton 0.25%.  Brown leaf spot- Apply water to the soil and root zone, don't wet the leaves, and allow the soil to dry before watering again. "
What are the diseases that affect Banana?,"Panama wilt, Anthracnose."
What are the Disease control measures in Banana?,"Sanitation by immediate removal of diseased plants with surrounding soil from the field, During cultivation avoid root injury.Actively remove non-crop species from banana plantations to reduce favourable fungal environments. Use of biofungicides during harvest (10% Arabic gum and 1.0% chitosan) to control fungal spread in storage."
What are the diseases that affect Plantain ?,"fusarium wilt, black leaf spot, and anthracnose"
What are the Disease control measures in Plantain?,Prevention and exclusion are the only effective management strategies. Avoid this problem by replanting at that site using species from different genera than plants previously infected there by Fusarium.
What are the diseases that affect Coconut ?,"bud rot, Ganoderma butt rot "
What are the Disease control measures in Coconut?,"bud rot- Provide adequate drainage in gardens. Adopt proper spacing and avoid over crowding in bud rot prone gardens. Remove as much of the stump and root system as possible when the palm is removed, or grind the stump"
What are the diseases that affect Ginger?,"Ginger Blast, Dry Rot"
What are the Disease control measures in Ginger?,"Ginger Blast - well drained area, use rihizome from disease free areas.Dry Rot-  Apply Neel Cu-Copper EDTA 12% at 0.5 gm/lit of water (dry conditions) or at 1.5 – 2 gm/lit of water (wet or rainy conditions). Drench the soil with any of these mentioned fungicides or 1% Bordeaux mixture"
What are the diseases that affect Onion ?,"Botrytis leaf blight, Neck rot"
What are the Disease control measures in Onion?,Always plant healthy onion seeds or sets in well drained soil where air circulation is good. Practice a 2-year or longer crop rotation to avoid other diseases that might pre-dispose onions to Botrytis infection.
What are the diseases that affect Rubber?,"Leaf Spot Diseases, Root Rot, Powdery Mildew"
What are the Disease control measures in Rubber?,Remove and destroy severely infected leaves to prevent the spread of the disease. Spray a mixture of 1 part baking soda to 10 parts water onto the foliage to create an alkaline environment that inhibits fungal growth.
What are the diseases that affect Sesamum?,"Phyllody, powdery mildew and Alternaria leaf spot"
What are the Disease control measures in Sesamum?,"For reducing fungal diseases such as Alternaria blight and CLS disease, seed should be treated with Thiram (0.3%) or Carbendazim 50WP (0.1%) followed by two foliar sprayings of Mancozeb + Carbindazim @0.2%."
What are the diseases that affect Coffee?,"Coffee berry disease (CBD) , Coffee Red Blister, Black twig borer "
What are the Disease control measures in Coffee?,"CRBD can be controlled through raising soil pH to reduce acidity and enhance absorption of other essential nutrients that nourish plants, help coffee productivity, and improve bean quality. There is a direct relationship between soil acidity and the proliferation of fungi and other diseases."
What are the diseases that affect Potato ?,"Late blight, Bacterial wilt"
What are the Disease control measures in Potato?,"There are many practices that can help control late blight: Plant only healthy seed potato tubers. Destroy cull, or waste, potato tubers."
What are the diseases that affect Mango?,"Anthracnose, Bacterial black spot"
What are the Disease control measures in Mango?,"From panicle emergence to fruit set (early August to end of October), apply a fungicide registered for control of anthracnose (e.g. prochloraz, mancozeb) every two weeks and a copper fungicide registered for control of bacterial leaf spot every three weeks."
What are the diseases that affect Jack fruit?,"Die Back Causal Organism, Soft Rot "
What are the Disease control measures in Jack fruit?,Pruning of infected twigs followed by spraying with carbendazim (0.1%) or thiophenate methyl (0.2 %) or chlorothaloni (0.2%) have been recommended.
What are the diseases that affect Papaya?,"Papaya ringspot virus, Anthracnose"
What are the Disease control measures in Papaya?,Removal of infected twigs and application of Bordeaux paste at cut portion checks disease spread Immediate harvesting of fruits as soon as they mature Storage of fruits should be done in well ventilated environment
What are the diseases that affect Custard Apple?,"Anthracnose, powdery mildew, and leaf spot"
What are the Disease control measures in Custard Apple?,"Older fruits left on the trees provide inoculum for disease spread.The pathogen survives through spores (conidia) or mycelium in diseased plant debris or other hosts.
"
What are the diseases that affect Rose Apple?,"Black spot, Sporotricosis"
What are the Disease control measures in Rose Apple?,"Apply a thick layer of mulch around the plant's base. Mulch prevents soil from splashing up on the plant, and if the spores are present in the soil, it will help stop black spot from spreading on the roses."
What are the diseases that affect Sapodilla?,"sooty mold, leaf spot"
What are the Disease control measures in Sapodilla?,using mixture of household detergent and water.
What are the diseases that affect Black Plum ?,"black knot, plum pocket, brown rot"
What are the Disease control measures in Black Plum?,"Prune out all infected branches in late winter (late February through the end of March) and destroy them by burning, burying, or throwing them away"
What are the diseases that affect Tamarind?,"Anthracnose, dieback, and root rot"
What are the Disease control measures in Tamarind?,Dry grass was removed to expose the seedlings to sunlight for better growth after germination
What are the diseases that affect Guava?," bacterium Erwinia psidii, guava wilt disease"
What are the Disease control measures in Guava?, Remove and destroy infected plants promptly. Avoid Overhead Irrigation: Use drip irrigation to prevent splashing of bacteria. Copper-Based Sprays: Apply copper-based bactericides as a preventive measure. 
What are the diseases that affect Amla?,"Internal necrosis , Soft Rot"
What are the diseases that affect Rambuttan?,"Leaf spot diseases, Root Rot"
What are the diseases that affect Cocoa Fruit?,"Watery pod rot, swallon shoot virus"
What are the diseases that affect Brinjal?,"Bacterial wilt, Jassid or leaf hopper"
What are the diseases that affect Tomato?,"Early blight, Bacterial Spot"
What are the diseases that affect Lady's Finger?,"Yellow vein mosaic virus, Powdery Mildew"
What are the diseases that affect Bitter Gourd?,"powdery mildew, bacterial wilt"
What are the diseases that affect Elephant foot Yam?,"leaf blight, collar rot"
What are the diseases that affect Carrot?,"Aster yellows , Bacterial leaf spot "
What are the diseases that affect Raddish?,"Alternaria Blight  , White Rust"
What are the diseases that affect Pumpkin?,"Powdery mildew, Downy mildew"
What are the diseases that affect Garlic?,"Basal rot, White rot"
What are the diseases that affect Cauliflower ?," black spot, downy mildew"
What are the diseases that affect Watermelon ?,"Anthracnose, Fusarium wilt"
What are the diseases that affect Cabbage?,"Clubroot , Downy mildew"
What are the diseases that affect Spinach ?,"Damping off disease , Fusarium Wilt"
What are the diseases that affect Mushroom?,"Soft mildew, White plaster mold"
What are the diseases that affect Capsicum?,southern blight and powdery mildew
What are the diseases that affect Lablab Bean?,"Anthracnose, powdery mildew"
What are the diseases that affect Ash Gourd?,"Fruit Rots , Downy Mildew"
What are the diseases that affect Bajji Chilli?,"Leaf Curl Disease, Chilli Mosaic Disease"
What are the diseases that affect Pole Beans?,"Brown spots ,  Anthracnose"
What are the diseases that affect Bottle gourd?,"Powdery Mildew , Downy Mildew"
What are the diseases that affect Amaranthus?," Root Rot ,  Leaf Spot"
What are the diseases that affect Clove bean?,"Powdery Mildew , Downy Mildew"
What are the diseases that affect Cowpea ?,"Asochyta blight, Anthracnose"
